21.544  0.053192  0.025388  5.4936e-05  2.9968e-05  0.00011451  0.00040857  0.00010183  0.00039211  6.7971e-06  5.781e-05  1.1875e-05  7.7974e-05  1.2167e-05  5.5547e-05  1.8351e-06  9.4162e-06  1.7367e-06  4.1813e-06  3.0721e-06  8.0113e-06  1.8255e-06  6.7022e-06  3.2855e-06  6.2549e-06  4.024e-06  4.1336e-05  2.8189e-07  1.9498e-06
24.771  0.061955  0.029508  6.3691e-05  3.474e-05  0.00013295  0.00047475  0.0001183  0.0004556  7.8874e-06  6.7168e-05  1.3794e-05  9.0594e-05  1.4127e-05  6.4542e-05  2.1286e-06  1.0932e-05  2.0133e-06  4.8479e-06  3.5625e-06  9.2981e-06  2.1171e-06  7.7774e-06  3.8126e-06  7.2593e-06  4.6723e-06  4.8002e-05  3.2731e-07  2.2645e-06
28.48  0.072206  0.034279  7.3799e-05  4.0253e-05  0.00015427  0.00055138  0.00013738  0.00052913  9.1485e-06  7.8002e-05  1.6013e-05  0.0001052  1.6394e-05  7.496e-05  2.4682e-06  1.2687e-05  2.3332e-06  5.6182e-06  4.1302e-06  1.0788e-05  2.4543e-06  9.02e-06  4.4217e-06  8.4204e-06  5.4212e-06  5.5708e-05  3.7979e-07  2.6286e-06
32.745  0.084202  0.039786  8.543e-05  4.6603e-05  0.00017882  0.00063984  0.0001594  0.00061399  1.0603e-05  9.0503e-05  1.8571e-05  0.00012206  1.9009e-05  8.6984e-05  2.8603e-06  1.4714e-05  2.7026e-06  6.5057e-06  4.7857e-06  1.2509e-05  2.8431e-06  1.0451e-05  5.1228e-06  9.7579e-06  6.2829e-06  6.4583e-05  4.4019e-07  3.0481e-06
37.649  0.098232  0.046111  9.8757e-05  5.389e-05  0.00020695  0.00074147  0.00018471  0.0007115  1.2273e-05  0.00010486  2.1505e-05  0.00014142  2.2012e-05  0.0001008  3.3113e-06  1.7045e-05  3.1277e-06  7.5246e-06  5.5403e-06  1.449e-05  3.2899e-06  1.2093e-05  5.9261e-06  1.1292e-05  7.2693e-06  7.4752e-05  5.0936e-07  3.5294e-06
43.288  0.11463  0.053331  0.00011394  6.2209e-05  0.000239  0.00085755  0.00021364  0.00082289  1.4182e-05  0.00012125  2.4849e-05  0.00016352  2.5441e-05  0.00011658  3.8279e-06  1.9714e-05  3.6152e-06  8.6885e-06  6.4055e-06  1.6759e-05  3.8009e-06  1.3964e-05  6.841e-06  1.304e-05  8.3909e-06  8.6329e-05  5.8804e-07  4.078e-06
49.77  0.13375  0.061508  0.00013113  7.1649e-05  0.0002752  0.00098915  0.00024645  0.00094918  1.6348e-05  0.00013983  2.863e-05  0.00018856  2.9329e-05  0.00013447  4.4163e-06  2.275e-05  4.1715e-06  1.001e-05  7.3924e-06  1.9343e-05  4.3818e-06  1.6083e-05  7.8752e-06  1.502e-05  9.6555e-06  9.9402e-05  6.768e-07  4.6986e-06
57.224  0.15599  0.070679  0.00015043  8.228e-05  0.00031573  0.0011369  0.00028334  0.0010911  1.8787e-05  0.00016067  3.2865e-05  0.00021665  3.3699e-05  0.00015457  5.0817e-06  2.6177e-05  4.8021e-06  1.1499e-05  8.5107e-06  2.2264e-05  5.0372e-06  1.846e-05  9.0333e-06  1.724e-05  1.1067e-05  0.00011402  7.7595e-07  5.394e-06
65.793  0.18175  0.080845  0.00017188  9.4142e-05  0.00036056  0.0013011  0.00032436  0.0012486  2.1506e-05  0.00018381  3.7554e-05  0.00024783  3.8558e-05  0.00017688  5.8277e-06  3.0007e-05  5.5118e-06  1.3161e-05  9.7678e-06  2.5535e-05  5.7702e-06  2.1099e-05  1.0316e-05  1.9703e-05  1.2624e-05  0.00013017  8.8537e-07  6.1641e-06
75.646  0.2114  0.091955  0.00019543  0.00010723  0.00040947  0.0014809  0.00036937  0.0014214  2.4502e-05  0.00020914  4.2672e-05  0.00028195  4.3893e-05  0.00020134  6.6555e-06  3.4238e-05  6.3029e-06  1.4997e-05  1.1167e-05  2.916e-05  6.581e-06  2.3992e-05  1.1718e-05  2.2401e-05  1.4316e-05  0.00014778  1.0044e-06  7.0057e-06
